subject,predicate,object,confidence,source
Traveling_Salesman_Problem,is_instance_of,Task,1.0,expansion_ant_colony
Ant_Colony,solves,Traveling_Salesman_Problem,0.9,expansion_ant_colony
Ant_Colony,has_advantage_in,Global_Search_Capability,0.8,expansion_ant_colony
Global_Search_Capability,is_instance_of,Metric,1.0,expansion_ant_colony
Vehicle_Routing_Problem,is_instance_of,Task,1.0,expansion_ant_colony
Ant_Colony,solves,Vehicle_Routing_Problem,0.9,expansion_ant_colony
Combinatorial_Optimization,is_instance_of,Task,1.0,expansion_ant_colony
Ant_Colony,solves,Combinatorial_Optimization,0.9,expansion_ant_colony
Path_Optimization,is_instance_of,Task,1.0,expansion_ant_colony
Ant_Colony,solves,Path_Optimization,0.9,expansion_ant_colony
Ant_Colony,similar_to,Greedy_Search,0.7,expansion_similarity
Pheromone_Trail,is_instance_of,Technique,1.0,expansion_ant_colony
Ant_Colony,uses_technique,Pheromone_Trail,0.9,expansion_ant_colony
Positive_Feedback,is_instance_of,Technique,1.0,expansion_ant_colony
Ant_Colony,implements,Positive_Feedback,0.9,expansion_ant_colony
Stigmergy,is_instance_of,Paradigm,1.0,expansion_ant_colony
Ant_Colony,uses_paradigm,Stigmergy,0.9,expansion_ant_colony
